ticker,verdict,reason
RWWI,C,Autodesk reseller with shrinking revenue no differentiation
ITMSF,C,contracting geospatial mapper negative gross margin
EXYN,C,stagnant niche robotics mapping shrinking revenue
ADSK,A,design/BIM software compresses construction and infrastructure cost
BSY,A,infrastructure engineering software runs roads water grid design
NET,C,generic internet security CDN SaaS not physical-need system
CRWV,C,leveraged AI compute cloud not durable-need system
CPAY,C,payments company pure financial intermediation
DSGX,A,logistics software cuts freight and customs cost
DIDIY,B,ride-hailing improves vehicle utilization though mixed fintech businesses
DT,C,generic IT observability SaaS
YMM,A,freight matching platform cuts empty truck miles
FROG,C,generic developer software supply chain SaaS
KSPI,C,fintech payments marketplace financial intermediation
KXSCF,B,supply chain planning SaaS plausible logistics efficiency
LYFT,C,undifferentiated number-two rideshare thin economics
MANH,A,warehouse and transport software lowers freight cost per shipment
OBIIF,C,generic ERP and system integration
OCTV,B,critical-infrastructure asset software plausible fit revenue flat
OCLCF,C,generic enterprise cloud software
PTC,C,generic PLM IoT enterprise software contracting revenue
SAP,C,generic enterprise ERP software
SPSC,B,retail supply-chain network plausible logistics efficiency
TOST,B,restaurant operating platform mixed with payments fintech
UBER,B,mobility platform improves utilization mixed delivery advertising
SRBEF,B,shelf-label inventory AI plausible retail waste reduction
WTCHF,A,logistics execution software compresses global freight cost
WK,C,generic compliance reporting SaaS
ZS,C,generic cybersecurity SaaS
ENRD,C,unproven autonomous freight deep negative margins
KARO,A,fleet telematics cuts fleet cost profitably at scale
KDK,C,pre-commercial autonomous trucking moonshot
SABR,C,legacy travel booking intermediary stagnant
TMOAY,C,shrinking navigation maps business
WRD,B,robotaxi commercialization real revenue unproven economics
CRNC,C,in-car voice assistant convenience not need efficiency
CMDXF,C,oil reservoir simulation serves commodity E&P contracting
LAW,C,legal ediscovery software not durable need
DUOT,B,rail inspection AI plausible fit mixed datacenter pivot
ERDLF,C,stagnant fleet compliance telematics thin margins
IIIV,C,generic government admin software thin margins
IVUFF,A,transit planning dispatch software runs buses trains efficiently
LNKLF,C,supply chain finance intermediation
TRAK,C,food traceability network but flat revenue no expansion
RBBN,C,declining legacy telecom voice equipment
SMTEF,B,driver monitoring safety tech growing scale unclear
TLS,C,generic government cybersecurity
CREX,C,digital signage adtech reseller
HISNF,C,payments fintech intermediation
MHUBF,C,no verifiable revenue commodity-trade platform
RPGL,C,nano-cap generic ERP reseller
YAAS,C,shrinking micro SaaS no traction
ALRM,B,home security monitoring platform shelter safety mixed fit
BB,B,QNX embedded vehicle OS plausible mixed cybersecurity
TTAN,A,trades software runs home HVAC plumbing services efficiently
