ticker,verdict,reason
VOLVF,B,trucks and buses serve transport but no efficiency differentiation shown
ZLIOF,C,undifferentiated commodity construction machinery in price-war market
ACNFF,B,diversified food ingredient distributor with thin margins
ACGBY,C,financial intermediation (bank)
ACI,C,conventional grocery retail without cost-lowering differentiation
ALCO,C,land leasing and mining royalties not scalable food operator
ASBFY,C,conglomerate mixing sugar ingredients and fast-fashion retail
TBBB,A,hard-discount grocer cutting food cost for low-income households
LND,C,commodity farmland development and farming with shrinking revenue
BNC,C,crypto treasury pivot away from durable-need business
CPOUF,C,commodity factory-farm protein producer with flat growth
CIADY,C,branded dairy with contracting revenue and no efficiency angle
CHSCP,B,farm-owned ag cooperative infrastructure mixed with petroleum refining
CHSCO,B,farm-owned ag cooperative infrastructure mixed with petroleum refining
CHSCN,B,farm-owned ag cooperative infrastructure mixed with petroleum refining
CHSCM,B,farm-owned ag cooperative infrastructure mixed with petroleum refining
CRARY,C,financial intermediation (bank)
CRARF,C,financial intermediation (bank)
FSPKF,A,respiratory humidification devices improving care outcomes with strong growth
SGLOF,C,restaurant chain not food-system efficiency
GARPY,C,commodity palm oil plantation
JJSF,C,discretionary snack foods without durable-need efficiency
JBSS,B,staple nut processing with private-label cost focus
JBFCF,C,quick-service restaurant chain not durable-need efficiency
KARNF,B,staple sunflower oil and grain infrastructure with circular energy
KR,B,scale grocer with private-label cost efficiency
LABFF,A,biosimilar enoxaparin and fill-finish cut drug cost per treatment
LMNR,C,shrinking citrus grower with real-estate sideline
LOTBY,C,indulgence biscuit brands not durable-need efficiency
MAMA,C,prepared deli foods without system-efficiency mechanism
MLFNF,C,commodity protein processing without differentiation
MBRFY,C,commodity beef processing without efficiency mechanism
MCSHF,B,wholesale distribution backbone for independent grocers
NHFOF,C,commodity meat processing without differentiation
NFPDF,C,ultra-processed instant noodles weak nutrition fit
PRRFY,C,branded packaged foods without efficiency angle
PTKFY,A,affordable pharma and nutrition with distribution for emerging market
TAPGF,C,commodity palm oil plantation
RCDTF,B,commercial pharma but orphan-drug pricing model uncertain fit
ALFFF,C,commodity processed meats with contracting revenue
SGPPY,B,wholesale food distribution backbone for independent retailers
SFM,C,premium natural grocery without cost-lowering mechanism
STBFY,C,sugary and alcoholic beverages misaligned with health
VFF,C,cannabis-led business with produce secondary
WFAFF,C,mixed retail conglomerate without durable-need efficiency
AICXF,B,utility and rail maintenance vehicles support essential infrastructure
BGS,C,stagnant leveraged packaged-food brands with contracting revenue
BHCCF,B,aquaculture genetics improves farmed-protein efficiency but financials uncertain
BYND,C,contracting commercialization and weak plant-meat economics
BFNH,C,supplement micro-cap nothing verifiable
SOSCF,C,contracting commodity edible-oil brands
ENGCF,A,excavator tiltrotators boost machine productivity and fuel efficiency
