ticker,verdict,reason
LNT,C,geographically-trapped regulated utility no scalable product layer
AEE,C,captive-territory regulated utility no product layer
AVA,C,regional regulated utility no scalable layer
CMSA,C,debt security not an operating business
CMSC,C,debt security not an operating business
CMSD,C,debt security not an operating business
CMS,C,single-state regulated utility no product layer
ED,C,captive-territory regulated utility
DUKB,C,debt security not an operating business
DUK,C,regulated utility no scalable product layer
ENJ,C,mortgage bond not an operating business
ENO,C,mortgage bond not an operating business
EVRG,C,captive-territory regulated utility
EXC,C,regulated distribution utility no product layer
NI,C,regulated gas utility captive territory
NWE,C,regional regulated utility
PCG,C,captive regulated utility wildfire liabilities
PEG,C,regulated utility no scalable layer
WEC,C,captive-territory regulated utility
XEL,C,captive-territory regulated utility
ABLZF,A,electrification and automation raise grid and industrial efficiency
AEHR,C,no verifiable description
APH,B,differentiated interconnects but mixed consumer and military markets
BHE,C,undifferentiated thin-margin contract electronics manufacturing
BKWAF,B,multi-country grid and energy infrastructure but utility-heavy mix
CLS,C,commodity contract manufacturing thin margins
COHU,C,semiconductor test gear not a durable-need system
DLEGF,A,power electronics cut energy losses across infrastructure and mobility
DRXGF,C,imported-pellet biomass burning weak efficiency case
EXOSF,C,defense electro-optics missile warning weapons exposure
FLEX,C,commodity contract manufacturing thin margins
FOJCY,B,low-carbon Nordic generation but commodity power sales
HUBB,A,grid components and automation strengthen transmission distribution
ITRI,A,smart meters cut energy and water waste
JBL,C,commodity contract manufacturing thin margins
LGRDY,A,building electrical infrastructure lowers energy cost per outcome
LFUS,A,circuit protection makes electrical systems safer more resilient
MGHTF,C,geographically-trapped NZ generator no product layer
MRCY,C,defense electronics weapons rejection
NXPRF,A,grid and offshore wind cables enable electrification
NRKBF,A,HV cable backbone for grid and offshore wind
PLXS,C,commodity contract manufacturing thin margins
POWL,A,custom switchgear and substations harden power distribution
PRYMY,A,global power cable leader enables grid buildout
SANM,C,commodity contract manufacturing thin margins
STECF,B,emerging-market solar platform but capital-intensive IPP
PHPPY,B,LED efficiency fits but revenue contracting
SOCNF,C,SoC design not a durable-need system
TER,C,semiconductor test equipment not durable-need
TTMI,C,defense-heavy PCBs commodity boards
OLED,C,display materials not a durable need
VLTO,A,water analytics and treatment cut water waste
OEZVY,B,multi-country hydro generation but commodity power
VSH,C,commodity passive components no differentiation
WSIOF,A,smart metering optimizes grid operation and efficiency
UTL,C,small captive regulated utility
ABOIF,C,conglomerate with banking and coal power mix
AES,C,no verifiable description
AQNB,C,debt security not an operating business
AQN,C,regulated utility roll-up no product layer
ALNT,B,precision motion components unclear differentiation
AEP,C,captive-territory regulated utility
BKH,C,captive-territory regulated utility
BEPH,C,debt security not an operating business
BEPI,C,debt security not an operating business
BEPJ,C,debt security not an operating business
BEPC,B,global renewable asset owner yieldco structure
CNP,C,captive-territory regulated utility
CEPU,C,single-country commodity power generation
CPYYF,C,retail energy reseller monetizes supply margin
CWEN,B,clean generation portfolio but financial yieldco
CLPHY,B,multi-country electricity operator but coal-heavy
CIG,C,single-region regulated Brazilian utility
ELPC,C,single-region regulated Brazilian utility
CEG,B,carbon-free nuclear baseload but merchant commodity power
CTS,B,sensors and actuators unclear differentiation
D,C,captive-territory regulated utility
DTW,C,debt security not an operating business
DTB,C,debt security not an operating business
DTG,C,debt security not an operating business
DTE,C,captive-territory regulated utility
EIX,C,captive regulated utility wildfire exposure
ELIAF,A,multi-country transmission operator balances renewable-heavy grids
EMA,C,regulated utility holding no product layer
ELEZF,C,Iberian regulated generation and distribution
ENEAY,C,coal-heavy single-country utility
ENIC,C,single-country regulated utility
ENLT,A,fast-growing renewables plus storage platform across regions
EAI,C,debt security not an operating business
ETR,C,captive-territory regulated utility
ELC,C,debt security not an operating business
EMP,C,debt security not an operating business
EQUEY,C,regional regulated utility conglomerate
ES,C,captive-territory regulated utility
EXSNY,C,defense electro-optics missile warning weapons exposure
FRVO,C,pre-revenue geothermal unproven commercialization
FE,C,captive-territory regulated utility
FGSGF,C,commodity solar glass contracting revenue
FTS,C,regulated utility roll-up no product layer
FEIM,C,defense timing components contracting revenue
HOIEF,C,commodity consumer electronics components thin margins
IDA,C,captive-territory regulated utility
KEN,C,holding company commodity power generation
KE,C,commodity contract electronics manufacturing
KEP,C,single-country regulated monopoly thin margins
LDGYY,A,smart metering and grid management cut energy waste
CBLNF,B,electrical protection and materials mixed end markets
MEI,B,EV power distribution parts unclear differentiation
MGEE,C,captive-territory regulated utility
NEE,A,scalable renewables development machine lowers energy cost
NRG,B,retail energy with demand-response layer but commodity generation
OGE,C,captive-territory regulated utility
OKLO,C,pre-revenue fission startup unproven breakthrough
ORA,A,geothermal operator plus equipment maker durable baseload
OTTR,B,utility plus pipe manufacturing mixed business
PAM,C,commodity power oil and petrochemical conglomerate
PNW,C,captive-territory regulated utility
POR,C,captive-territory regulated utility
PPL,C,captive-territory regulated utility
RGPCF,C,gas and coal commodity IPP
RDEIY,B,transmission operator grid balance but mostly domestic
RNW,B,Indian renewables platform with equipment manufacturing
RNRTY,C,cables ICT defense conglomerate stagnant
SO,C,captive-territory regulated utility
SOJC,C,debt security not an operating business
SOJD,C,debt security not an operating business
SOJE,C,debt security not an operating business
TLN,C,merchant commodity power mixed fossil fleet
TNABF,C,single-country regulated utility
TEZNY,B,Italian grid operator balance role but domestic
TYOTF,B,specialty carbon materials unclear end-market mix
TAC,C,commodity merchant generation
TRNS,B,calibration services support reliable measurement niche
TXNM,C,captive-territory regulated utility
VPG,B,precision sensing components unclear differentiation
VST,C,merchant commodity power retail mix
VLXGF,B,power and EV cabling assembly limited differentiation
VLTAF,B,multi-country renewables operator plus services small scale
WSPCF,C,commodity battery separators negative gross margin
AEMMY,A,circular waste-to-energy water and heat multi-utility growing
ABZPF,C,no verifiable description
ADOOY,C,thermal coal commodity producer
HCAEF,C,single-country transmission holding company
AGLXY,C,coal-heavy gentailer contracting
AXIAY,C,single-country commodity hydro generation
AXICY,C,duplicate listing single-country hydro generation
BEP,B,global renewable asset owner yieldco structure
CPXWF,C,gas-heavy commodity generation
CGNWF,B,large nuclear fleet low-carbon but single-market SOE
CQP,C,fossil LNG export midstream
CCOZF,C,thermal coal commodity producer
CLPXY,C,single-market wind generation contracting revenue
CPWIF,C,coal-heavy state power generation
CRPJY,C,coal-heavy power portfolio commodity
CUAEF,C,coal commodity producer
CSGEF,C,gas distribution and wind contracting
CHUEF,C,single-country utility thin margins
CGKEF,C,single-country utility thin margins
CRPAY,C,renewables operator revenue contracting sharply
CSDXF,C,commodity oil and LNG shipping
DCCPY,C,fossil fuel distribution monetizes carbon energy
DNGFF,B,power generation equipment maker mixed thermal exposure
ENAKF,B,multi-country distribution networks and efficiency solutions
EDPFY,B,multi-country utility with renewables platform
EDRVF,B,global renewables developer operator
ELCPF,B,multi-country utility with renewables platform
EDRWY,C,thermal-heavy single-country generator
EDN,C,single-region regulated distribution Argentina
ENLAY,B,global grids and renewables multi-country platform
ENREF,B,multi-region renewables and storage operator high margins
ET,C,fossil midstream pipelines commodity
ENGIY,B,decentralized low-carbon networks multi-country
XNGSY,C,single-country gas distribution thin margins
FELTY,A,power electronics and semiconductors raise energy efficiency
FUWAY,B,cables optical and energy infrastructure mixed portfolio
