ticker,verdict,reason
MDCKF,C,keyword-matcher conglomerate of unrelated software and door businesses
APMRF,C,defense and electronic warfare; weapons hard rejection
KDCXF,C,digital TV access security; not a durable need
PSSWF,A,software optimizing electricity gas water grids and logistics
ALSMY,A,rolling stock and signaling make rail transport efficient
QRNNF,C,coal-haulage-dominated rail network monetizes fossil supply chain
CNI,A,freight rail backbone; most efficient land freight mode
CP,A,transcontinental freight rail lowers cost per ton-mile
CDGLY,B,public transit operator; durable need without differentiation evidence
CRCCY,B,huge rolling stock maker but mixed trucks buses conglomerate
CSX,A,freight rail efficiency versus trucking
GRPTF,B,essential channel fixed link but single-asset concession
MTRJF,B,efficient metro operator mixed with property development
NSC,A,freight rail lowers fuel per ton-mile
RUMOF,B,rail freight efficiency but commodity export concession
TRN,C,railcar leasing cycle; undifferentiated commodity equipment
UNP,A,largest US freight rail network efficiency
WAB,A,locomotives braking and train control improve rail efficiency
FGROY,C,contracting bus rail operator; revenue shrinking
GBX,C,commodity railcar maker; revenue down 32 percent
JFBHF,C,tourist mountain railway; leisure not durable need
VOSSY,A,rail fasteners switches maintenance harden rail infrastructure
CAT,B,construction equipment leader but mining oil mixed end-markets
CNH,B,agriculture equipment serves food; mixed construction finance arms
TEX,C,mixed equipment conglomerate without clear efficiency differentiation
RAIL,C,commodity railcar manufacturer; contracting revenue
FIP,C,asset roll-up with crude oil terminals
GRPOF,C,undifferentiated trucking and logistics conglomerate
NXPGY,C,contracting transport operator; revenue down 20 percent
NNRRF,C,low-margin rail construction services; flat undifferentiated
ASTE,B,road equipment with asphalt recycling; differentiation unproven
BLBD,B,school buses serve shared transport; electrification edge unproven
CMCO,C,undifferentiated industrial lifting equipment
PLOW,C,niche truck attachments; no system-efficiency evidence
HYLN,C,unproven single generator technology; negligible revenue
HY,C,commodity forklift maker; contracting revenue thin margins
MTW,C,cyclical crane maker without differentiation evidence
MLR,C,towing equipment niche; no efficiency mechanism
WNC,C,commodity trailers; one percent gross margin
ASEKY,B,transmissions and hybrid components; efficiency plausible mixed portfolio
ALSN,B,commercial transmissions improve fleets but defense vehicle mix
APTV,B,vehicle safety and electrical architecture; fit without efficiency proof
ARBFF,C,recreational 4x4 accessories; not durable need
ATMU,A,fleet filtration extends engines and cuts emissions cost
AUR,C,pre-revenue self-driving moonshot
ALV,B,passive safety leader; safety fit without cost-per-outcome edge
BWA,B,turbo and EV powertrain efficiency; flat mixed transition
BRBOF,C,premium performance brakes; luxury racing skew
BRDCF,C,commodity tire producer without differentiation evidence
BCO,C,armored cash logistics; financial services not durable need
BYDDY,A,integrated EVs and batteries lower electric transport cost
CHRW,C,freight brokerage intermediation; thin undifferentiated spread
CUOTF,C,commodity forged stamped auto parts
CTTAY,C,tires and rubber; undifferentiated commodity mix
MBGAF,C,premium luxury automaker; no system-efficiency contribution
DAN,C,commodity driveline parts; thin margins no differentiation
DNZOF,B,thermal and hybrid systems plausibly improve vehicle efficiency
DORM,B,aftermarket repair parts extend vehicle life; circular plausible
DRPRF,C,luxury sports cars; not durable need
DSDVY,A,global freight consolidation at scale cuts logistics cost
EXPD,B,freight forwarding consolidation; efficiency without differentiation evidence
FSS,A,sweepers sewer cleaners maintain essential municipal infrastructure
RACE,C,luxury supercars; artificial scarcity business
F,C,incumbent automaker; no system-efficiency differentiation
FOVSY,C,incumbent automaker; contracting revenue
FYGGY,B,dominant low-cost auto safety glass; component not system
GTX,C,ICE-tied turbochargers; secular decline undifferentiated
GELYF,B,scaled EV-transition automaker; profitable growth mixed lineup
GM,C,incumbent automaker; no system-efficiency differentiation
GNTX,C,dimming mirrors are comfort features not efficiency
GMPUF,C,commodity body stampings without differentiation
GYUAF,B,batteries including grid storage serve energy balancing
GNZUY,C,incumbent automaker; negative gross margin
HOG,C,recreational motorcycles; lifestyle not durable need
HLKHF,C,lighting electronics supplier without efficiency differentiation
HMC,B,motorcycles and hybrids provide low-cost mass mobility
HUBG,C,intermodal broker; contracting revenue undifferentiated
INPOY,A,parcel lockers cut last-mile cost and emissions per delivery
JTEKY,C,diversified steering bearings machine tools; no differentiation
KNRRY,A,rail and truck braking systems; safety and efficiency leader
KHNGY,B,global logistics consolidation; efficiency without differentiation evidence
LCII,C,RV components; recreational not durable need
LEA,C,seats and wiring; commodity content supplier
LI,B,profitable EV maker but revenue declining
LIMAF,C,diversified parts contract manufacturer without differentiation
LKQ,B,salvage and recycled parts circular but revenue declining
CDNIF,C,tobacco distribution core; monetizes addiction
LCID,C,chronic losses negative margins; dilution machine
MGA,C,diversified contract supplier without efficiency differentiation
MAHMF,B,tractors and low-cost mobility serve food and transport
MFGHF,C,regional 3PL without differentiation evidence
MBGYY,C,premium luxury automaker; no system-efficiency contribution
MNTHY,C,body trim parts; no durable-need efficiency
MBLY,A,deployed ADAS at scale lowers crash cost per mile
MOD,B,thermal management for data centers buildings; efficiency plausible
NTXVF,C,steering components without differentiation evidence
NHKGF,C,springs and seats; commodity components
NIFCY,C,plastic fasteners; commodity components
NIOIF,C,chronic losses and dilution despite growth
NIO,C,chronic losses and dilution despite growth
NPEHF,C,diversified logistics conglomerate without differentiation
NGKSY,C,spark plugs; ICE-tied consumable components
NKRKY,C,regional tire maker without differentiation
NPSKF,C,bearings maker; commodity components without differentiation evidence
OSK,B,refuse fire and access vehicles serve municipal infrastructure
PCAR,B,leading freight truck maker; efficiency edge unproven
PATK,C,RV and marine components; recreational not durable need
