ticker,verdict,reason
CHRN,C,AI compute story with negative gross margin
CGNX,A,machine vision automates manufacturing and cuts defects and waste
CMI,A,freight engine efficiency and emissions aftertreatment leader
CW,C,defense-heavy segment mix dominates
DHR,A,bioprocess and diagnostic tools lower cost per health outcome
DE,A,precision agriculture cuts inputs per crop output
DOV,C,diversified conglomerate without clear need mechanism
DXPE,C,undifferentiated MRO distribution middleman
ETN,A,grid power management improves electrical efficiency
EFXT,B,gas compression and treated water with fossil-tied mix
ENS,B,industrial stored energy real but differentiation unclear
EROC,C,revenue down 42 percent contracting commercialization
ESAB,C,welding consumables without need differentiation
EMAT,C,negligible revenue story valuation
FLNC,A,grid-scale storage balances renewable energy at real scale
FPS,B,grid and datacenter electrical gear boom-driven demand
FTV,B,mixed instrumentation and healthcare conglomerate
GRMN,C,consumer lifestyle GPS wearables not durable need
GTES,B,belts and fluid power with unclear differentiation
HAYW,C,pool equipment is leisure not durable need
HSAI,B,ADAS lidar real but fiercely competitive
ITW,C,conglomerate led by auto OEM and specialty products
IMAX,C,entertainment not a durable need
PI,B,RFID item tracking plausible logistics efficiency
IR,A,efficient compression and mission-critical air fluid medical systems
LUNR,C,lunar space moonshot not durable need
JBTM,A,food processing efficiency equipment at scale
JCI,A,building HVAC controls and retrofits cut energy use
KAI,A,recycling water filtration and fluid process equipment circular
KMT,C,commodity-adjacent cutting tools unclear edge
KEYS,C,test instruments defense and comm mix no durable need
LHX,C,weapons hard rejection
LRCX,A,fab equipment compresses cost per chip for compute infrastructure
LII,A,heat pumps and HVAC efficiency for shelter
DRS,C,defense electronics weapons
LPL,C,commodity display panels stagnant thin margins
LECO,B,welding leader enabling tool not direct need
MIDD,B,commercial kitchen equipment indirect food link
MFP,B,food processing equipment differentiation unproven
MIR,A,radiation safety monitoring for health and nuclear energy
MKSI,C,semiconductor subsystems indirect need link
MSM,C,MRO distribution middleman
NN,C,negligible revenue spectrum story
NDSN,C,dispensing for consumer electronics manufacturing not durable need
NOC,C,weapons hard rejection
NOVT,C,precision components mixed markets weak mechanism
NVT,C,enclosures and protection weak efficiency mechanism
ONTO,B,yield metrology plausible fab efficiency second tier
OUST,C,competitive lidar unproven economics versus cap
OC,A,insulation lowers building energy use
PNR,B,water treatment mixed with large pool business
PLUG,C,chronic losses and dilution machine
QS,C,pre-revenue unproven battery breakthrough
RAL,C,generic test instruments no durable-need mechanism
RRX,A,energy-efficient motors and power transmission
