ticker,verdict,reason
PALI,C,no verifiable description
PBIGF,C,no verifiable description
PAVM,C,no verifiable description
PTHS,C,no verifiable description
PEPG,C,no verifiable description
PFSMF,C,no verifiable description
CATX,C,no verifiable description
PHBI,C,no verifiable description
DTIL,C,no verifiable description
PMN,C,no verifiable description
PRQR,C,no verifiable description
PLX,C,no verifiable description
TARA,C,no verifiable description
PRTA,C,no verifiable description
PBYI,C,no verifiable description
PRTCY,C,no verifiable description
PYXS,C,no verifiable description
QTTB,C,no verifiable description
QTEX,C,no verifiable description
QUCY,C,no verifiable description
RFL,C,no verifiable description
RANI,C,no verifiable description
RLMD,C,no verifiable description
RZLT,C,no verifiable description
RCKT,C,no verifiable description
SABS,C,no verifiable description
SPHDF,C,no verifiable description
SNWV,C,no verifiable description
MSLE,C,no verifiable description
SBC,C,no verifiable description
SBLOF,C,no verifiable description
SIGA,C,no verifiable description
SION,C,no verifiable description
SRAMF,C,no verifiable description
SNDL,C,no verifiable description
SOFWF,C,no verifiable description
SLGL,C,no verifiable description
EDTXF,C,no verifiable description
SPRB,C,no verifiable description
SUSRF,C,no verifiable description
SRZN,C,no verifiable description
STRO,C,no verifiable description
TELA,C,no verifiable description
TNYA,C,no verifiable description
TCLIF,C,stagnant commercialization with $1M revenue after two decades
TLSA,C,no verifiable description
TNXP,C,no verifiable description
HURA,C,no verifiable description
TTRX,C,no verifiable description
UNCY,C,no verifiable description
UPB,C,no verifiable description
USNA,C,no verifiable description
VNDA,C,no verifiable description
VRXA,C,no verifiable description
VBIZF,C,no verifiable description
VOGX,C,no verifiable description
VYGR,C,no verifiable description
VTVT,C,no verifiable description
WHWK,C,no verifiable description
XFOR,C,no verifiable description
XTNT,C,no verifiable description
YARW,C,no verifiable description
ZNTL,C,no verifiable description
ZSTK,C,no verifiable description
AAWH,C,recreational cannabis monetizes dependence not durable need
CWBHF,C,CBD wellness supplements with shrinking revenue
DH,C,sales-marketing SaaS for pharma not care delivery
POCI,C,no verifiable description
QTI,C,no verifiable description
VRHI,C,wellness platform with sharply contracting revenue
ACRV,C,no verifiable description
ACET,C,no verifiable description
ALDX,C,no verifiable description
ALPS,C,no verifiable description
PRNAF,C,no verifiable description
ATHE,C,no verifiable description
ANVS,C,no verifiable description
APLM,C,no verifiable description
ATRA,C,no verifiable description
ATYR,C,no verifiable description
MNNGF,C,no verifiable description
BSEM,C,no verifiable description
BTMD,C,no verifiable description
BOLD,C,no verifiable description
BRIBF,C,no verifiable description
CRDF,C,no verifiable description
CSBR,C,no verifiable description
CING,C,no verifiable description
CTOR,C,no verifiable description
CKLSF,C,no verifiable description
CLNN,C,no verifiable description
CGTX,C,no verifiable description
DWTX,C,no verifiable description
EDSA,C,no verifiable description
ELTX,C,no verifiable description
ELOX,C,no verifiable description
EXOZ,C,no verifiable description
FTLF,C,no verifiable description
FBIO,C,no verifiable description
GANX,C,no verifiable description
GNTA,C,no verifiable description
GWLL,C,zero-revenue supplement seller no durable-need fix
GOSS,C,no verifiable description
HRTX,C,no verifiable description
HLTRF,C,no verifiable description
HSTC,C,incoherent shell mixing crypto media and transport
HWH,C,no verifiable description
HYPD,C,no verifiable description
IBIO,C,no verifiable description
IMA,C,no verifiable description
IMMP,C,no verifiable description
IFTBF,C,no verifiable description
INMB,C,no verifiable description
TIL,C,no verifiable description
INCR,C,no verifiable description
ISPR,C,no verifiable description
JWCTF,C,no verifiable description
KLRS,C,no verifiable description
LONA,C,no verifiable description
LFVN,C,no verifiable description
MAIA,C,no verifiable description
METXF,C,no verifiable description
MNOV,C,no verifiable description
HYFT,C,no verifiable description
INKT,C,no verifiable description
MBGPF,C,no verifiable description
NMAD,C,no verifiable description
AURX,B,autologous wound-care therapy commercial and growing but tiny
OKYO,C,no verifiable description
OSTX,C,no verifiable description
PIII,C,no verifiable description
PLRX,C,no verifiable description
PMVP,C,no verifiable description
PLYX,C,no verifiable description
RLYB,C,no verifiable description
RECEF,C,no verifiable description
RNTX,C,no verifiable description
RNXT,C,no verifiable description
SCYX,C,no verifiable description
SQNMF,C,no verifiable description
MCRB,C,no verifiable description
SER,C,no verifiable description
CCWYF,C,no verifiable description
SPRO,C,no verifiable description
SDEV,C,no verifiable description
TLPH,C,no verifiable description
TELO,C,no verifiable description
TENX,C,no verifiable description
TCRX,C,no verifiable description
VRCA,C,no verifiable description
XBIT,C,no verifiable description
XLO,C,no verifiable description
ZYBT,C,no verifiable description
DGNOF,C,near-zero revenue since 1998 stagnant commercialization
GSTK,C,recreational cannabis cultivation not durable need
HSTI,C,cannabis plus unrelated shipping no coherent business
TDMMF,C,health imaging software with revenue contracting 23 percent
MLLNF,C,investment holding company pure financial intermediation
ROMJF,C,recreational cannabis producer not durable need
VSQTF,C,buzzword venture portfolio financial intermediation
ATNM,C,no verifiable description
ACTU,C,no verifiable description
ALGS,C,no verifiable description
ATOS,C,no verifiable description
AYTU,C,no verifiable description
BRNS,C,no verifiable description
BETRF,C,pre-revenue psychedelic development unproven
BYSI,C,no verifiable description
BHIC,C,wellness supplements with sharply shrinking revenue
BCTX,C,no verifiable description
CVM,C,no verifiable description
CLCS,C,pre-revenue cell-therapy moonshot single unproven platform
CRVO,C,no verifiable description
CPHI,C,no verifiable description
CNTX,C,no verifiable description
DCGO,C,no verifiable description
DYAI,C,no verifiable description
UNHLF,C,no verifiable description
EHSI,C,tiny insurance-plan intermediation not care efficiency
ELUT,C,no verifiable description
ENLV,C,no verifiable description
IMUC,C,no verifiable description
ESLA,C,no verifiable description
EUDA,C,no verifiable description
EVAX,C,no verifiable description
FLNA,C,no verifiable description
GRCE,C,no verifiable description
GRML,C,no verifiable description
GRDX,C,no verifiable description
IGC,C,no verifiable description
IBO,C,no verifiable description
IXHL,C,no verifiable description
IDXG,B,cancer diagnostics avoid unneeded surgery but flat revenue
KPTI,C,no verifiable description
KYNB,C,no verifiable description
LMMHF,C,no verifiable description
LTRN,C,no verifiable description
LITS,C,no verifiable description
MRKR,C,no verifiable description
MDDVF,C,no verifiable description
MDNAF,C,clinical-stage immunotherapy binary trial risk
MREO,C,no verifiable description
MGX,C,no verifiable description
MIRA,C,no verifiable description
NNVC,C,no verifiable description
NSRX,C,no verifiable description
NXTC,C,no verifiable description
MYCOF,C,no verifiable description
OPTH,C,no verifiable description
PIQLF,C,diagnostic with tiny shrinking revenue stagnant
QNTM,C,no verifiable description
QNCX,C,no verifiable description
RADX,C,no verifiable description
RMTI,C,no verifiable description
SCLX,C,no verifiable description
SYMQY,C,no verifiable description
TVGN,C,no verifiable description
