ticker,verdict,reason
ROK,A,industrial automation lowers manufacturing cost per output
ROP,C,mixed generic vertical SaaS heavy on payments and financial software
ST,B,mission-critical sensors for vehicles/electrification; differentiation unclear
SSD,A,structural connectors make housing stronger and more resilient
SNA,B,pro repair tools/diagnostics support transport upkeep; financing-heavy
SPB,C,branded consumer/pet/home products not a durable-need fix
SPXC,B,engineered HVAC cooling plausible shelter/energy efficiency; mixed segments
SXI,C,diversified industrial conglomerate with defense mix; unclear need fit
SWK,C,stagnant branded tools; no system-efficiency mechanism
RUN,B,decentralized home solar plus storage; lease-finance-heavy model
SYM,A,warehouse automation cuts supply-chain cost per case
TDY,B,imaging/sensor instruments serve health/industry; defense mix
TMO,A,lab tools and diagnostics lower cost of health research
TRMB,A,construction/geospatial software compresses build cost and waste
VECO,C,semi deposition equipment; indirect durable-need link
VRT,A,data-center power/cooling efficiency for critical infrastructure
VICR,A,high-density power conversion cuts electricity loss
VNT,C,fueling/retail POS mix shrinking; weak efficiency case
WSO,B,HVAC distribution scale; thin-margin distributor without product edge
WWD,B,engine controls improve fuel efficiency; defense mix
ZBRA,A,asset visibility cuts waste in logistics and health systems
ZWS,A,water safety filtration and control products for buildings
AACAF,C,consumer smartphone acoustics; not durable need
AOSL,C,commodity power discretes for consumer electronics
APELY,C,consumer/auto components; flat and undifferentiated
AMANF,C,parking and time-attendance systems; not durable need
AMBQ,A,ultra-low-power chips slash energy per computation
AD,B,shared towers colocation model growing; asset-owner economics
ARRY,B,solar trackers raise yield but revenue shrinking
ARW,C,commodity electronics distribution; thin margins
AIP,C,generic semiconductor IP licensing; no durable-need link
ASTS,B,satellite-to-phone coverage extension; heavy execution risk
ASAAF,C,commodity PCB/substrate manufacturing; low margins
T,C,slow incumbent telecom utility; no efficiency edge
TBB,C,debt security; no verifiable operating description
MAQAF,C,toll-road rent collection; no scalable product layer
AUOTY,C,commodity LCD panels; thin margins
AVT,C,commodity electronics distribution
BCE,C,slow incumbent telecom utility
BELFA,C,commodity circuit components with defense mix
BDC,C,cable/connectivity hardware; commodity with unclear differentiation
BYDIY,C,consumer electronics assembly; 6% gross margin commodity
CALX,A,software lets small broadband providers compete; decentralizing access
CAMT,B,chip inspection aids yield; niche flat growth
CSIQ,C,commodity solar modules; shrinking revenue
CAZGF,C,sports performance analytics; not a durable need
CEVA,C,generic DSP IP licensing
IMOS,C,commodity chip assembly and test services
CHT,C,slow incumbent telecom utility
CIEN,A,optical networking cuts cost per bit of essential connectivity
COHR,B,photonics lower network cost; mixed consumer/industrial ends
GLW,B,fiber aids infrastructure; large display/consumer glass mix
CWLLF,C,smartphone camera modules; consumer commodity
DURYY,C,auto paint-shop engineering; flat and cyclical
DAIPF,C,welding/transformer mix; undifferentiated industrial electricals
DQ,C,commodity polysilicon with negative margins
DEUZF,C,legacy diesel engine maker; weak differentiation; defense segment
DEXCF,C,display/electronics materials for consumer devices
ECHO,C,declining pay-TV distribution; not durable need
ECTXF,B,professional food-service equipment; sales dipping
ESE,C,defense-heavy engineered components and ordnance devices
P,C,enterprise data storage; generic IT not durable need
FN,C,contract optics manufacturing; thin-margin outsourcing
FITGF,C,consumer connectors and cables commodity
FUJXF,C,niche polishing consumables; indirect durable-need link
GSAT,C,declining satellite services; weak differentiation
