ticker,verdict,reason
ARCAY,B,water/mobility/resilience consultancy; plausible fit without product edge
AGX,B,power-plant EPC growing fast; energy buildout without moat evidence
ARLO,C,consumer security cameras; not a durable-need system
SNCAF,B,nuclear/transport/water engineering; defence mix dilutes fit
BCKIY,C,defense systems maker; weapons hard rejection
BW,B,emissions control and steam tech; mixed legacy business
BAFBF,C,undifferentiated general contractor
BZH,C,undifferentiated homebuilder with shrinking revenue
BFLBF,C,commodity industrial services; scaffolding and insulation
BOUYY,C,conglomerate spanning telecom and media; unfocused
BXBL,C,story-stage modular homes; negligible revenue vs cap
BRVDF,B,building installations with energy optimization; contractor economics
BBUC,C,private equity vehicle; financial intermediation
BDMXF,C,generic construction contractor
BZZUF,C,commodity cement producer
CXMSF,C,commodity cement producer
CX,C,commodity cement producer (duplicate listing)
CCS,C,undifferentiated homebuilder with mortgage attach
FIX,A,mechanical/electrical systems lower building energy cost
CMSYF,C,undifferentiated telecom construction contractor
CMZOF,C,commodity cement producer
CRH,B,infrastructure materials solutions at scale; still commodity-adjacent
NWSZF,C,toll-road/insurance conglomerate; rent collection mix
DEMGF,B,offshore wind installation specialist; cyclical contracting
DFH,C,undifferentiated homebuilder; shrinking revenue
EXP,C,commodity cement and wallboard
EFGSF,C,diversified contractor-concession conglomerate; no efficiency edge
ELNRF,B,grid transmission construction; plausible but undifferentiated
ETRZF,C,diversified electromechanical contractor
EME,A,electrical/mechanical infrastructure services cut building and grid costs
EKIVY,C,construction conglomerate with real estate and trading
EVOH,C,HVAC startup with no revenue; story
KYWAF,C,undifferentiated telecom construction contractor
EXPO,C,forensic consulting monetizes failures; not system efficiency
FBOHY,C,flooring and belts; stagnant undifferentiated
GCWOF,C,commodity cement producer
GKTRF,C,diversified Greek construction conglomerate
HSHPF,A,infrastructure products and galvanizing extend asset life
HOCFF,C,generic global mega-contractor
HCMLY,B,building systems beyond cement; still commodity-heavy
HOVVB,C,undifferentiated homebuilder; shrinking revenue
HOV,C,undifferentiated homebuilder; shrinking (duplicate listing)
IESC,B,electrical/data-center infrastructure; strong growth but contractor
INRHF,C,generic construction and paving holding
IRS,C,malls and hotels rent extraction; not durable need
JMHSF,C,stagnant commercial flooring; undifferentiated
JHX,A,durable fiber-cement lowers lifetime shelter cost
JBI,C,self-storage buildings; not a durable need
JGCCF,C,oil and LNG plant EPC; fossil commodity
KAJMF,C,generic mega-contractor
KTITF,A,renovates vacant homes for resale; circular affordable shelter
KLRGF,B,geotechnical specialist; solid but service commodity risk
KBAGF,C,generic construction contractor
KYDKF,C,stagnant regional power-line contractor
LTOUF,B,infrastructure EPC with water and grid; defense mix dilutes
LEGH,A,factory-built homes lower cost per dwelling
LGN,A,building MEP and efficiency retrofits reduce energy use
LGIH,B,entry-level homebuilder; affordability without clear system edge
LYTS,B,LED lighting efficiency mixed with retail displays
MLLUY,C,metallurgical construction; shrinking state contractor
NCCBF,C,generic Nordic contractor
NRTZF,B,efficient water heaters and heat recovery; slow growth
OBYCF,C,generic mega-contractor
OPMXF,B,shared telecom towers lower coverage cost; slow growth
PWR,A,grid transmission and smart-grid buildout at scale
SYRVF,B,water and transport concessions; multi-country operating model
SCWTF,C,composites with mixed end-markets; contracting revenue
SKBNF,C,diversified developer-contractor; shrinking
SHMUY,C,generic mega-contractor
SKBSY,C,generic contractor with defense exposure
SPIWF,B,energy services and smart-grid installs; thin-margin contractor
STBBF,C,generic construction conglomerate
TNISY,C,oil and gas plant EPC
TISCF,C,generic mega-contractor
TTCIF,C,commodity cement producer
SDCVF,C,commodity cement producer
VCISF,C,contractor-concession conglomerate; toll rent with low growth
BVHMF,C,undifferentiated homebuilder; shrinking
WBRBY,B,building envelope plus water management pipes
WGO,C,recreational vehicles; leisure not durable need
WSPOF,B,infrastructure consultancy with strong growth; services only
XYIGF,C,commodity glass producer
AFXXF,C,stagnant engineering consultancy
AMRC,A,energy-savings contracts cut customer energy cost
ASYTF,B,nuclear engineering services; energy resilience niche
BBMPY,C,commodity building materials; shrinking
BWMN,B,civil infrastructure consulting; growing but undifferentiated
BRDNF,C,commodity aggregates and cement
CPAC,C,commodity cement producer
CHYCY,C,LNG plant EPC; shrinking
DNERF,C,facilities and road maintenance contractor; shrinking
ELLKY,C,collapsed revenue; no operating evidence
FDVWF,A,energy transmission and hydrogen-ready pipelines; strong economics
GNSPF,A,power grid construction and renewable integration; fast growth
HAZAF,C,generic contractor
IBJHF,C,commodity bricks; shrinking
KIERF,C,generic contractor with prisons and defence
KMGGF,C,generic contractor; shrinking
LOMA,C,commodity cement producer
LYOPF,C,mining EPC serves commodity extraction
MRHLF,C,undifferentiated telecom construction contractor
OBSJF,C,generic contractor plus luxury hotels
PSGTF,C,commodity cement producer
RZNXF,C,oil and petrochemical plant maintenance
RTOBF,C,private equity vehicle; financial intermediation
RNWHF,B,critical infrastructure asset renewal; maintenance service niche
SBDHF,A,bridge and tunnel repair extends infrastructure life
SLCVF,C,towers without growth economics
SRGGF,C,mining-heavy maintenance contracting
RMIX,C,commodity ready-mix distribution; tech claim unverified
TODCF,C,generic contractor
TPC,C,undifferentiated civil contractor
YITYY,C,generic residential contractor
YGWAF,B,steel bridges and retrofit; transport infrastructure niche
YRCCF,C,regional facility contractor; stagnant
AXR,C,land development; no operating efficiency layer
CNRFF,B,social-interest affordable housing Mexico; thin evidence
