ticker,verdict,reason
GLAPF,B,nutrition ingredients platform diluted by financing/property sidelines
GNCGY,C,undifferentiated convenience-food manufacturing no efficiency mechanism
GPAGF,B,staple corn flour and tortillas at scale
PIFMF,C,diversified conglomerate with palm plantations and packaging
INGR,B,ingredient science platform but heavy sweetener mix
SJM,C,indulgence brand portfolio coffee sweets pet food
JDEPY,C,coffee and tea indulgence not durable need
KGMEF,C,vegetable beverages without system-efficiency evidence
KWPCF,C,condiments and dressings no efficiency mechanism
KIKOY,C,soy sauce condiments flavor not efficiency
KHC,C,stagnant branded processed food declining revenue
LW,C,frozen fries for fast food commodity indulgence
LYSFF,C,commodity salmon and whitefish revenue contracting
MZTI,C,dressings and garlic bread niche brands
MKC,C,spices and condiments flavor not system efficiency
MEJHY,B,dairy nutrition plus vaccines and generics staples
MNDDF,C,snack-heavy mix biscuits noodles no differentiation
MDLZ,C,snacks chocolate candy monetize indulgence
MHGVY,A,integrated salmon farming resource-efficient protein at scale
NCHEY,B,frozen food plus cold-chain logistics infrastructure
NSFMF,C,commodity flour milling flat growth
NISUY,C,diversified marine conglomerate thin differentiation
ORKLF,C,unfocused conglomerate paints to snacks
BKFKY,B,integrated salmon farming with own feed chain
POST,C,cereal and pet food brands flat growth
PPOKF,B,integrated poultry affordable protein for emerging market
PIFFY,B,staple noodles dairy nutrition for emerging market
PIFMY,C,same diversified conglomerate palm and packaging mix
JPFAF,B,integrated feed-to-protein agrifood affordable protein
PTMYF,C,biscuits candy coffee snack brands
SUEZF,C,commodity sugar producer contracting revenue
SALRY,B,salmon aquaculture at scale efficient protein
SAPIF,C,commodity dairy processing thin margins
SDPNF,C,palm oil plantation commodity
SGLJF,B,food staples plus water purification systems
TYCMY,C,noodles plus sugary beverages undifferentiated
TSUKY,B,low-cost staple noodles seafood and cold chain
UPBMF,C,palm oil plantation commodity
UVRBY,C,snacks candy beverages indulgence heavy
UTZ,C,salty snacks not durable need
WWNTY,C,rice crackers candy flavored milk snacks
WHGRF,C,industrial pork factory-farm waste economics
WLMIY,C,palm-heavy commodity agribusiness thin margins
YMZBY,C,bread plus sweet snacks no efficiency mechanism
AGRO,C,no verifiable description
BV,C,keyword-matcher landscaping services not food
DMC,C,commodity fresh produce thin margins
DOLE,B,global fresh produce distribution thin-margin staple supply
AVO,C,avocado distribution revenue contracting sharply
UVV,C,leaf tobacco addiction economics
AKEJF,C,seasonings and soup bases flavor niche
ARZTY,C,frozen pastry bakery contracting no efficiency
ARZTF,C,duplicate listing same contracting bakery business
ASTVF,C,commodity wildcatch pelagic holding contracting
BGCHY,C,undifferentiated dairy and spreads processing
BRBR,C,branded protein shakes discretionary consumer nutrition
BPPPF,B,scaled foodservice distribution across markets
BZLFY,C,consumables distribution zero growth no food focus
CHEF,C,luxury foodservice distribution not durable need
CBOAF,C,premium olive oil no system efficiency
DPZ,C,pizza restaurant chain indulgence
EDESY,B,farm-input distribution and agronomy services for growers
EZKGF,C,confectionery indulgence
FLO,B,staple packaged bread at national scale
FNEVF,C,soft drinks plus publishing conglomerate mix
GRGSF,C,salmon farmer revenue collapsing
GUZOF,C,sauces condiments revenue contracting sharply
HSY,C,sugar confectionery indulgence
JWLLF,C,vitamins supplements weak-evidence wellness
JRONY,A,discount food retail lowers grocery cost at scale
GKSDF,C,conglomerate food plastics auto parts unfocused
MPEVF,C,palm oil plantation commodity
MICC,C,ice cream indulgence
MHPSY,B,integrated poultry affordable protein strong growth
MALG,C,coffee liquor microcap collapsing revenue
NSOMF,B,staple edible oils plus elderly care nutrition
NOMD,C,branded frozen food contracting revenue
OLGPF,C,commodity agricultural merchandising contracting revenue
OFRM,B,organic infant nutrition growing fast
PFGC,B,scaled food distribution thin-margin essential supply
PPLFY,C,palm oil plantation commodity
SGLLF,B,staple rice processing and marketing at scale
RIDYF,B,animal nutrition solutions essential food-system input
BNGRF,C,branded cheese contracting no efficiency
SENEA,B,low-cost canned vegetable staples growing
SMPL,C,protein snack brands discretionary nutrition
SISAF,C,palm oil plantation commodity
SLCJY,C,undifferentiated commodity row-crop farming
SYY,B,foodservice distribution scale efficiency
THFRF,C,commodity canned seafood flat growth
TR,C,candy addiction-adjacent indulgence
MRUHF,C,diversified fishing trading conglomerate zero margins
UNFI,C,distribution scale but contracting revenue
USFD,B,scaled foodservice distribution steady growth
VTSYF,C,flat soy beverage maker no differentiation
YNNHF,C,hot pot condiments flavor niche
ZNZNF,C,direct-sales supplement model
CYJBF,C,load-handling cranes flat mixed end markets
DTGHF,B,commercial trucks backbone of freight transport
EPOAY,B,mining and infrastructure equipment with automation
IVCGF,C,undifferentiated truck maker thin margins
KNNGF,A,forklifts and warehouse automation raise logistics efficiency
KMTUF,B,construction and mining machinery at scale
KNCRF,A,crane and port automation improve freight handling
KUBTY,A,farm machinery and water infrastructure raise food productivity
OUKPY,B,minerals processing equipment plus recycling solutions
SNYYF,C,coal mining and oil-gas equipment exposure
SHKLY,B,heavy trucks at China scale transport need
TKUGF,C,compact excavators no differentiation evidence
TRATF,B,trucks and buses major transport OEM
