ticker,verdict,reason
NXTBF,C,shrinking biometric sensor vendor with negative margins
ODYS,C,story-stage with ~$1M revenue
SCTTF,A,robotic food-processing and production automation improves efficiency
SPWR,C,no verifiable description
SNSC,C,no verifiable description
SPCB,C,no verifiable description
TYGO,C,no verifiable description
WSKEF,C,cybersecurity chips/PKI not a durable physical need
WKEY,C,duplicate listing of same cybersecurity business
BLNK,C,no verifiable description
BYRN,C,no verifiable description
CBAT,C,no verifiable description
CVV,C,no verifiable description
ELBM,C,no verifiable description
GEOS,C,no verifiable description
HLP,C,no verifiable description
GPUS,C,no verifiable description
LASE,C,no verifiable description
LGL,C,no verifiable description
MVIS,C,no verifiable description
NVX,C,no verifiable description
RETO,C,no verifiable description
STI,C,no verifiable description
SOTK,C,no verifiable description
TGEN,C,no verifiable description
VHUB,C,no verifiable description
ZOOZ,C,no verifiable description
APWC,C,no verifiable description
BEWFF,C,IoT asset tracking with shrinking revenue
BZFD,C,no verifiable description
EKNPF,B,optical transport gear improves network efficiency
IEHC,C,defense-led connector maker
INSG,C,no verifiable description
OPXS,C,no verifiable description
REKR,C,no verifiable description
ASTI,C,no verifiable description
AUSI,C,pre-revenue mobile power story with defense mix
AATC,B,traffic-management systems aid transport efficiency but stagnant
BUGLF,C,niche GaN foundry serving defense/display markets
FTCI,C,no verifiable description
GUER,B,RF components for wireless infrastructure with growth
HYPRF,B,green hydrogen electrolyzers with uncertain economics
LCRXF,B,mixed electronics/IoT with infrastructure exposure
PXLW,C,cinematic video processing not durable need
PYRGF,B,plasma metal-recovery circularity at small scale
SQNS,C,no verifiable description
BEEM,C,no verifiable description
BCHT,C,no verifiable description
CLIR,C,no verifiable description
MIND,C,no verifiable description
NSYS,C,no verifiable description
PPSI,C,no verifiable description
SYPR,C,no verifiable description
WPRT,C,no verifiable description
ANGH,C,no verifiable description
CHAEF,C,diversified electronics/property conglomerate without need focus
USPCY,C,commodity electronics assembly at 6% margin
ELWT,C,no verifiable description
FIEE,C,no verifiable description
FSTJ,B,circular e-waste recycling and ITAD growing
FKWL,C,no verifiable description
KSCP,C,no verifiable description
NRRWF,C,contracting revenue and negative margins
NUR,C,duplicate listing with contracting revenue
SNT,C,no verifiable description
TRUHF,C,commodity consumer electronics with thin shrinking margins
AYI,C,no verifiable description
ARSTY,A,heat pumps and efficient water heating cut energy use
BTDPY,B,volume UK housebuilder with timber-frame manufacturing
BTDPF,B,duplicate listing of Barratt Redrow
BLHWF,A,HVAC actuators and controls cut building energy use
BLWYF,B,UK homebuilder supplying social housing
BKGFF,B,mixed-use builder with affordable housing element
CVCO,A,factory-built homes lower cost per dwelling
SKY,A,factory-built housing lowers shelter cost
CODGF,A,insulation and lightweight materials cut building energy
CODYY,A,duplicate listing of Saint-Gobain
DHI,C,generic volume homebuilder without cost-compression evidence
DRMKY,B,building access hardware fits shelter without efficiency evidence
ECG,B,electrical and grid T&D contracting services
GBERY,A,water-efficient sanitary and piping systems for buildings
GEO,C,private prisons monetize incarceration
GRBK,C,land-development homebuilder without cost-lowering mechanism
GFF,C,garage doors and consumer tools without efficiency mechanism
HSSKY,B,condo builder with renovation and management services
ANTOF,C,generic homebuilder description without differentiation
IBP,A,insulation installation improves home energy efficiency
KBH,C,conventional builder with sharply contracting revenue
KGSPY,A,insulated building envelopes cut energy use
LEN,C,generic volume homebuilder without differentiation evidence
JSGRY,B,water and housing products conglomerate mixed fit
MHO,C,conventional homebuilder without differentiation
MTH,B,entry-level focused homebuilder in cyclical dip
NVR,C,generic homebuilder plus mortgage banking
PSMMY,B,integrated builder with timber frames and social housing
PHM,C,conventional homebuilder without cost-lowering mechanism
RLLWF,A,water control and push-fit plumbing improve efficiency
SNWAF,C,undifferentiated doors and shutters products
JOE,C,land-bank real estate development monetizes appreciation
SMFRF,B,timber housing and forestry renewable shelter mix
TWODY,C,generic homebuilder without differentiation evidence
THO,C,recreational vehicles not a durable need
TOL,C,luxury housing not cost-lowering shelter
TOTDF,A,water-saving sanitary fixtures serve sanitation need
ACXIF,A,renewables and water infrastructure developer-operator at scale
AVHNF,C,holding company with banking and real estate
ACSAF,C,undifferentiated general construction conglomerate
AEGXF,B,essential infrastructure construction including nuclear and utility
AMRZ,C,commodity cement and aggregates core
APG,B,fire and life-safety services recurring but undifferentiated
